Millis,Red,IR
1417292,63175,105365
1417348,63179,105351
1417398,63162,105338
1417451,63179,105349
1417508,63159,105346
1417557,63168,105368
1417611,63194,105341
1417669,63159,105347
1417717,63169,105343
1417770,63170,105328
1417828,63163,105331
1417876,63170,105346
1417929,63154,105328
1417988,63157,105338
1418036,63146,105321
1418089,63137,105294
1418149,63125,105286
1418195,63143,105312
1418248,63135,105297
1418308,63138,105286
1418354,63157,105316
1418407,63098,105283
1418468,63132,105290
1418514,63132,105285
1418567,63103,105295
1418629,63129,105288
1418673,63099,105267
1418726,63069,105275
1418789,63105,105272
1418832,63072,105266
1418886,63052,105259
1418939,63077,105269
1418992,63111,105270
1419045,63107,105255
1419098,63083,105257
1419151,63069,105265
1419204,63097,105258
1419257,63070,105245
1419311,63058,105248
1419364,63059,105237
1419417,63064,105223
1419470,63043,105216
1419523,63022,105249
1419576,63075,105248
1419629,63062,105246
1419682,63054,105235
1419736,63059,105248
1419790,63059,105221
1419842,63038,105224
1419895,63057,105248
1419949,63070,105263
1420001,63041,105231
1420054,63028,105211
1420109,63041,105204
1420161,63022,105198
1420214,63016,105205
1420270,63021,105200
1420320,63013,105202
1420373,63005,105214
1420429,63025,105215
1420479,63007,105183
1420532,62990,105212
1420589,63022,105213
1420639,63029,105180
1420692,62974,105179
1420750,62967,105195
1420798,62991,105190
1420851,62971,105154
1420910,62935,105159
1420957,62959,105169
1421011,62978,105167
1421069,62961,105168
1421117,62964,105158
1421170,62985,105153
1421230,62958,105164
1421276,62967,105151
1421329,62973,105156
1421390,62971,105147
1421436,62960,105127
1421489,62923,105128
1421549,62940,105138
1421595,62932,105125
1421648,62933,105126
1421710,62950,105121
1421754,62932,105092
1421807,62939,105101
1421870,62940,105107
1421914,62952,105139
1421967,62920,105103
1422031,62894,105100
1422073,62918,105095
1422126,62872,105097
1422179,62885,105098
1422232,62914,105098
1422286,62918,105104
1422339,62890,105108
1422392,62891,105108
1422445,62899,105108
1422498,62897,105105
1422551,62919,105110
1422604,62900,105093
1422657,62900,105105
1422711,62921,105108
1422764,62911,105107
1422817,62896,105072
1422871,62872,105075
1422923,62888,105083
1422976,62873,105069
1423031,62873,105072
1423082,62873,105084
1423136,62870,105056
1423190,62871,105080
1423242,62887,105088
1423295,62862,105072
1423351,62855,105075
1423401,62881,105068
1423454,62857,105043
1423511,62837,105051
1423561,62847,105049
1423614,62820,105030
1423670,62836,105046
1423720,62852,105040
1423773,62846,105038
1423831,62822,105043
1423879,62832,105074
1423932,62838,105040
1423991,62798,105034
1424039,62807,105030
1424092,62800,105016
1424150,62784,104995
1424198,62772,104992
1424251,62778,104994
1424310,62774,104988
1424357,62776,104997
1424411,62783,104975
1424471,62764,104973
1424517,62765,104971
1424570,62760,104975
1424630,62768,104965
1424676,62760,104975
1424729,62724,104955
1424790,62745,104945
1424836,62719,104918
1424889,62729,104938
1424951,62739,104928
1424995,62749,104928
1425048,62715,104919
1425110,62741,104924
1425154,62745,104944
1425207,62723,104943
1425261,62712,104945
1425314,62740,104935
1425367,62737,104920
1425420,62689,104914
1425473,62674,104919
1425526,62722,104917
1425579,62688,104918
1425632,62681,104921
1425686,62693,104901
1425739,62699,104914
1425792,62706,104910
1425845,62716,104951
1425898,62711,104894
1425952,62651,104902
1426004,62681,104914
1426057,62668,104878
1426112,62641,104867
1426164,62645,104882
1426217,62659,104872
1426271,62652,104895
1426323,62644,104890
1426376,62652,104875
1426431,62650,104864
1426482,62644,104872
1426536,62645,104864
1426592,62639,104862
1426642,62630,104860
1426695,62604,104827
1426751,62607,104843
1426801,62610,104822
1426854,62599,104845
1426911,62614,104839
1426961,62605,104824
1427014,62587,104852
1427072,62594,104834
1427120,62594,104830
1427173,62603,104855
1427231,62607,104844
1427279,62599,104842
1427332,62596,104841
1427391,62608,104830
1427439,62596,104818
1427492,62593,104817
1427552,62584,104833
1427598,62593,104815
1427651,62598,104809
1427712,62594,104818
1427757,62605,104818
1427810,62583,104819
1427871,62590,104827
1427917,62591,104822
1427970,62585,104806
1428032,62581,104805
1428076,62565,104788
1428129,62566,104787
1428192,62560,104778
1428235,62567,104812
1428289,62571,104767
1428351,62546,104784
1428395,62580,104799
1428448,62556,104799
1428501,62550,104793
1428554,62572,104794
1428607,62569,104798
1428660,62520,104803
1428714,62520,104796
1428767,62518,104788
1428820,62523,104785
1428873,62535,104770
1428926,62494,104757
1428979,62491,104773
1429032,62521,104767
1429085,62517,104769
1429139,62513,104761
1429193,62493,104748
1429245,62488,104764
1429298,62499,104758
1429352,62502,104757
1429404,62482,104776
1429457,62492,104756
1429512,62490,104762
1429564,62479,104768
1429617,62469,104767
1429673,62462,104750
1429723,62462,104742
1429776,62474,104747
1429833,62455,104742
1429882,62454,104753
1429935,62457,104744
1429992,62461,104744
1430042,62468,104733
1430095,62471,104750
1430153,62449,104757
1430201,62465,104770
1430254,62477,104751
1430313,62441,104743
1430360,62429,104745
1430414,62438,104732
1430472,62436,104729
1430520,62445,104738
1430573,62436,104736
1430633,62446,104738
1430679,62453,104755
1430732,62446,104752
1430793,62438,104740
1430839,62433,104750
1430892,62447,104757
1430952,62440,104755
1430998,62432,104757
1431051,62415,104743
1431112,62414,104742
1431157,62419,104742
1431210,62404,104736
1431273,62407,104739
1431317,62410,104726
1431370,62416,104752
1431432,62429,104737
1431476,62405,104766
1431529,62438,104753
1431592,62411,104731
1431635,62411,104738
1431689,62414,104746
1431742,62403,104740
1431795,62404,104733
1431848,62390,104740
1431901,62369,104728
1431954,62378,104726
1432007,62391,104697
1432060,62392,104726
1432114,62400,104712
1432167,62403,104717
1432220,62376,104725
1432273,62383,104708
1432326,62398,104725
1432379,62368,104715
1432432,62375,104701
1432485,62371,104721
1432539,62344,104697
1432593,62373,104708
1432645,62380,104710
1432698,62356,104687
1432752,62363,104698
1432804,62382,104713
1432857,62357,104718
1432914,62342,104706
1432964,62339,104706
1433017,62351,104713
1433073,62377,104721
1433123,62325,104718
1433176,62325,104708
1433233,62343,104704
1433282,62347,104684
1433335,62326,104693
1433394,62313,104710
1433442,62320,104721
1433495,62356,104703
1433553,62337,104710
1433601,62314,104706
1433654,62321,104697
1433713,62345,104707
1433760,62334,104700
1433814,62311,104685
1433874,62304,104694
1433920,62295,104691
1433973,62278,104669
1434033,62284,104690
1434079,62305,104710
1434132,62294,104680
1434193,62295,104675
1434239,62291,104679
1434292,62272,104687
1434354,62288,104673
1434398,62289,104655
1434451,62273,104654
1434514,62260,104650
1434557,62259,104650
1434610,62275,104643
1434673,62274,104651
1434717,62272,104664
1434770,62259,104673
1434823,62251,104669
1434876,62280,104677
1434929,62267,104656
1434982,62275,104671
1435035,62266,104662
1435089,62264,104657
1435142,62215,104622
1435195,62210,104636
1435248,62242,104627
1435301,62241,104637
1435354,62218,104623
1435407,62217,104657
1435460,62249,104643
1435514,62233,104636
1435567,62224,104618
1435620,62221,104619
1435674,62211,104599
1435726,62195,104597
1435779,62183,104595
1435834,62182,104624
1435885,62191,104607
1435939,62186,104599
1435993,62185,104603
1436045,62189,104607
1436098,62176,104581
1436154,62183,104588
1436204,62179,104603
1436257,62155,104584
1436314,62178,104577
1436364,62170,104569
1436417,62132,104559
1436473,62150,104575
1436523,62168,104553
1436576,62148,104557
1436633,62150,104569
1436682,62148,104585
1436735,62173,104560
1436794,62167,104552
1436842,62163,104566
1436895,62117,104558
1436955,62117,104535
1437001,62152,104552
1437054,62109,104565
1437115,62112,104550
1437160,62108,104545
1437214,62106,104569
1437274,62148,104577
1437320,62159,104542
1437373,62112,104550
1437435,62104,104541
1437479,62141,104539
1437532,62085,104521
1437595,62085,104518
1437639,62088,104511
1437692,62118,104531
1437754,62119,104520
1437798,62096,104551
1437851,62128,104517
1437914,62108,104512
1437957,62089,104525
1438010,62094,104528
1438064,62097,104499
1438117,62086,104498
1438170,62078,104481
1438223,62082,104487
1438276,62057,104481
1438329,62078,104491
1438382,62074,104493
1438435,62069,104499
1438489,62074,104486
1438542,62079,104491
1438595,62086,104506
1438648,62072,104521
1438701,62095,104474
1438754,62069,104472
1438807,62075,104474
1438860,62052,104451
1438915,62048,104427
1438967,62062,104461
1439020,62057,104450
1439074,62053,104484
1439126,62065,104481
1439179,62051,104458
1439234,62057,104464
1439285,62070,104474
1439339,62065,104461
1439395,62055,104468
1439445,62060,104469
1439498,62038,104457
1439554,62053,104451
1439604,62037,104427
1439657,62037,104441
1439714,62040,104439
1439764,62042,104421
1439817,62049,104437
1439875,62042,104453
1439923,62057,104451
1439976,62068,104438
1440035,62038,104440
1440082,62059,104450
1440135,62065,104448
1440194,62076,104451
1440242,62059,104453
1440295,62072,104439
1440355,62042,104435
1440401,62041,104418
1440454,62057,104426
1440515,62042,104416
