Millis,Red,IR
343137,94674,117602
343195,94647,117607
343239,94664,117652
343290,94676,117622
343341,94677,117625
343395,94667,117632
343443,94661,117623
343494,94672,117633
343554,94665,117638
343597,94662,117640
343648,94664,117652
343699,94665,117658
343754,94685,117666
343801,94690,117659
343852,94681,117656
343903,94688,117683
343954,94701,117674
344005,94672,117636
344056,94628,117605
344115,94592,117607
344158,94596,117599
344209,94601,117618
344260,94648,117629
344315,94640,117661
344362,94628,117617
344413,94617,117608
344475,94580,117616
344515,94584,117599
344566,94590,117611
344617,94627,117614
344675,94596,117615
344719,94600,117665
344771,94600,117622
344822,94596,117620
344875,94587,117607
344924,94554,117600
344975,94533,117589
345034,94510,117553
345077,94479,117533
345128,94472,117547
345179,94467,117562
345234,94491,117567
345281,94512,117585
345332,94502,117584
345383,94462,117564
345434,94480,117573
345485,94510,117567
345536,94499,117593
345594,94519,117593
345638,94537,117610
345689,94557,117626
345740,94549,117647
345796,94552,117637
345842,94544,117644
345893,94515,117632
345955,94502,117600
345996,94451,117571
346047,94434,117574
346098,94467,117595
346155,94443,117555
346200,94398,117567
346251,94392,117556
346302,94434,117582
346355,94460,117597
346404,94476,117611
346455,94483,117600
346516,94422,117590
346557,94455,117593
346608,94455,117613
346659,94452,117606
346716,94428,117562
346761,94343,117508
346812,94278,117539
346863,94566,117726
346915,94751,117824
346965,94851,117865
347016,94756,117768
347076,94626,117690
347118,94538,117662
347169,94514,117646
347221,94547,117687
347276,94543,117659
347323,94482,117637
347374,94445,117627
347435,94427,117615
347476,94449,117613
347527,94438,117621
347578,94412,117584
347635,94406,117601
347680,94450,117652
347731,94478,117649
347782,94537,117686
347835,94535,117685
347884,94514,117673
347935,94418,117632
347996,94397,117615
348037,94400,117590
348088,94376,117599
348139,94401,117628
348195,94436,117653
348241,94469,117667
348292,94464,117670
348343,94519,117691
348395,94500,117682
348446,94489,117660
348497,94432,117643
348556,94431,117660
348599,94448,117687
348650,94484,117686
348701,94478,117665
348756,94459,117662
348803,94473,117676
348854,94471,117689
348915,94502,117672
348956,94484,117695
349007,94531,117724
349058,94495,117689
349115,94463,117653
349160,94451,117688
349211,94496,117709
349262,94527,117718
349316,94528,117724
349364,94570,117755
349415,94601,117789
349475,94614,117780
349517,94637,117770
349568,94620,117760
349619,94573,117744
349675,94599,117783
349722,94665,117779
349773,94726,117831
349824,94747,117839
349875,94755,117868
349926,94790,117917
349977,94872,117938
350036,94909,117924
350079,94927,117969
350130,94915,117977
350181,94954,118006
350236,95041,118034
350283,94999,118026
350334,94968,117991
350397,94839,117896
350436,94721,117791
350487,94600,117796
350538,94650,117820
350596,94677,117816
350640,94657,117796
350691,94621,117793
350742,94702,117866
350796,94714,117812
350844,94658,117799
350896,94612,117812
350957,94641,117820
350998,94653,117809
351049,94622,117799
351100,94602,117773
351157,94571,117778
351202,94549,117750
351253,94546,117743
351304,94562,117744
351357,94494,117720
351406,94441,117708
351457,94416,117673
351516,94400,117658
351559,94356,117664
351610,94387,117678
351661,94390,117680
351717,94372,117675
351763,94402,117684
351814,94474,117721
351876,94464,117730
351917,94453,117714
351967,94446,117729
352018,94487,117749
352076,94478,117734
352120,94447,117732
352172,94461,117728
352223,94453,117719
352276,94445,117722
352325,94446,117723
352376,94371,117673
352437,94350,117663
352478,94362,117683
352529,94374,117689
352580,94394,117713
352637,94381,117693
352682,94376,117678
352733,94364,117700
352784,94385,117708
352837,94370,117717
352886,94390,117736
352937,94380,117728
352997,94356,117703
353039,94307,117652
353090,94253,117626
353141,94218,117619
353197,94210,117624
353243,94200,117604
353294,94216,117605
353356,94169,117553
353397,94068,117526
353448,94009,117512
353499,94059,117531
353556,94078,117549
353601,94087,117550
353652,94102,117557
353703,94129,117586
353756,94149,117596
353805,94146,117606
353856,94168,117617
353917,94197,117626
353958,94230,117660
354009,94295,117684
354060,94257,117672
354117,94273,117687
354162,94280,117679
354213,94288,117685
354264,94204,117636
354316,94168,117627
354366,94148,117619
354417,94121,117613
354477,94168,117612
354519,94173,117622
354570,94180,117674
354622,94445,117828
354677,94505,117823
354724,94533,117878
354775,94672,117923
354836,94641,117927
354877,94644,117898
354928,94530,117837
354979,94469,117828
355036,94475,117814
355081,94466,117811
355132,94388,117780
355183,94339,117767
355238,94304,117735
355285,94326,117728
355336,94253,117717
355397,94272,117726
355438,94253,117734
355489,94321,117758
355540,94317,117775
355598,94314,117767
355642,94290,117741
355693,94317,117814
355744,94303,117766
355798,94295,117776
355847,94309,117775
355898,94307,117755
355957,94290,117722
356000,94245,117719
356051,94236,117727
356102,94243,117748
356157,94280,117747
